Entreprise,TitlePub,Lien_offre,Info_post,langue,nfo_entreprise,Type_Contrat,Metier,Profile_cherche,Experience,Niveau_etude,Salaire,Date_pub,Secteur_activite,Location

Shoperle SARL,English Customer Support for E-commerce Business.,https://www.m-job.ma/offres-emploi/114871-english-customer-support-for-e-commerce-business-meknes,"We are looking to hire a customer service agent for an e-commerce business. The job will be full-time (7-8 hours daily) and remote. Profil recherché : - excellent written communication skills in English - problem-solving skills - very organized and detail-oriented - Ability to adapt easily and handle varied situations efficiently As the job is remote, owning a good computer and having a good internet connection is a requirement.",Anglais,"on est une société spécialisé en commercialisation des produit solide, produit et bijoux des femmes, cadeaux.",Free Lance,,English Customer Support for E-commerce Business.,Fraichement diplômé / Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) / Confirmé (de 7 à 10 ans) / + 10 ans,NIV BAC ET MOINS / BAC / BAC+1 / BAC+2 / BAC+3 / BAC+4 / BAC+5 et plus,A négocier,L'offre a été publiée il y a 3 semaines avant sur le site.,Sports / Loisirs,Maroc

liliads web,Recrutement des téléconseillers expérimentés principalement sur des activités en énergies renouvelables,https://www.m-job.ma/offres-emploi/115133-recrutement-des-teleconseillers-experimentes-principalement-sur-des-activites-en-energies-renouvelables-casablanca,"Recrutement des téléconseillers expérimentés principalement sur des activités en énergies renouvelables (panneaux solaires, bilan énergétique) Votre mission consistera à: • Identifier rapidement les clients éligibles. • D'écouter et de conseiller les clients • Fixer le RDV Vous justifiez d'une expérience dans la prise de RDV Vous avez un esprit d'équipe et vous souhaitez-vous épanouir dans un cadre agréable. Vous souhaitez travailler pour une équipe ambitieuse et des objectifs atteignables, m3s call vous assure un plan d'épanouissement professionnel et un cadre propice pour faire briller vos talents. Avantage : CDI +CNSS+AMO //WEEK-END OFF Nous vous proposons : Un salaire motivant 6000 dhs(fixe + primes non plafonnées + challenges internes). Un cadre de travail convivial et à Boulevard ABDELMOUMEN Merci d'envoyer votre candidature par mail",L'offre a été publiée il y a 1 jour avant sur le site.,"liliads web est un centre d’appels basé sur le boulevard Abdelmoumen. Nous sommes spécialisés en émission d'appels, principalement sur des activités en énergies renouvelables (panneaux solaires, bilan énergétique)",CDI,Débutant (de 1 à 3 ans),Centres d'appels,BAC+2,Français,de 6000 dh à 8000 dh,L'offre a été publiée il y a 1 jour avant sur le site.,Télécoms / Réseaux,Casablanca

Agi conseil,cherche technicien informaticien pour centre d'appel,https://www.m-job.ma/offres-emploi/114981-cherche-technicien-informaticien-pour-centre-dappel-rabat,technicien pour centre d'appel,Français,"vous êtes un technicien informaticien et vous maitrisez l'environnement des centre d'appel et leurs besoins? Gestion des CRM, suivis techniques et assistances, Si oui n'hésitez pas à nous contacter par mail, pour un entretien physique.",Free Lance,Télécoms / Réseaux,technicien informaticien,Junior (de 3 à 5 ans),BAC,A négocier,L'offre a été publiée il y a 2 semaines avant sur le site.,Télécoms / Réseaux,Rabat

liliads web,Recrutement f immédiat des Télévendeurs en émission d’appel Avec expérience. Opération : énergie renouvelable salaire 6000 dh + des primes déplafonnées.,https://www.m-job.ma/offres-emploi/114945-recrutement-f-immediat-des-televendeurs-en-emission-dappel-avec-experience-operation-energie-renouvelable-salaire-6000-dh-des-primes-deplafonnees-casablanca,"Recrutement des téléconseillers expérimentés principalement sur des activités en énergies renouvelables (panneaux solaires, bilan énergétique) Votre mission consistera à: • Identifier rapidement les clients éligibles. • D'écouter et de conseiller les clients • Fixer le RDV Vous justifiez d'une expérience dans la prise de RDV Vous avez un esprit d'équipe et vous souhaitez-vous épanouir dans un cadre agréable. Vous souhaitez travailler pour une équipe ambitieuse et des objectifs atteignables, m3s call vous assure un plan d'épanouissement professionnel et un cadre propice pour faire briller vos talents. Avantage : CDI +CNSS+AMO //WEEK-END OFF Nous vous proposons : Un salaire motivant 6000 dhs(fixe + primes non plafonnées + challenges internes). Un cadre de travail convivial et à Boulevard ABDELMOUMEN Merci d'envoyer votre candidature par mail",Français,"liliads web est un centre d’appels basé sur le boulevard Abdelmoumen. Nous sommes spécialisés en émission d'appels, principalement sur des activités en énergies renouvelables (panneaux solaires, bilan énergétique)",CDI,Télécoms / Réseaux,téléconseiller,Débutant (de 1 à 3 ans),BAC+2,de 6000 dh à 8000 dh,L'offre a été publiée il y a 2 semaines avant sur le site.,Télécoms / Réseaux,Casablanca

liliads web,Recrutement des Télévendeurs en émission d’appel Avec expérience. Opération : énergie renouvelable // salaire 6000 dh Casablanca,https://www.m-job.ma/offres-emploi/114892-recrutement-des-televendeurs-en-emission-dappel-avec-experience-operation-energie-renouvelable-salaire-6000-dh-casablanca-casablanca,"Recrutement des téléconseillers expérimentés principalement sur des activités en énergies renouvelables (panneaux solaires, bilan énergétique) Votre mission consistera à: • Identifier rapidement les clients éligibles. • D'écouter et de conseiller les clients • Fixer le RDV Vous justifiez d'une expérience dans la prise de RDV Vous avez un esprit d'équipe et vous souhaitez-vous épanouir dans un cadre agréable. Vous souhaitez travailler pour une équipe ambitieuse et des objectifs atteignables, liliads web vous assure un plan d'épanouissement professionnel et un cadre propice pour faire briller vos talents. Avantage : CDI +CNSS+AMO //WEEK-END OFF Nous vous proposons : Un salaire motivant 6000 dhs(fixe + primes non plafonnées + challenges internes). Un cadre de travail convivial et à Boulevard anfa Merci d'envoyer votre candidature par mail a liliads.recrutement.rh@gmail.com",Français,"liliads web est un centre d’appels basé sur le boulevard Abdelmoumen. Nous sommes spécialisés en émission d'appels, principalement sur des activités en énergies renouvelables (panneaux solaires, bilan énergétique)",CDI,Télécoms / Réseaux,"téléconseiller en émission d'appels, principalement sur des activités en énergies renouvelables (panneaux solaires, bilan énergétique)",Débutant (de 1 à 3 ans),BAC+2,de 6000 dh à 8000 dh,L'offre a été publiée il y a 3 semaines avant sur le site.,Télécoms / Réseaux,Casablanca

Advanced Global Technology,Ingénieur Support IT,https://www.m-job.ma/offres-emploi/114876-ingenieur-support-it-casablanca,"Ingénieur Réseaux et Télécoms - Talentueux, Autonome avec un sens de responsabilité. - Bac+5 ou équivalent, dans le domaine des réseaux et télécommunications. Avec des compétences polyvalentes autour des réseaux LAN, WAN, WIFI, GSM, FTTH, SIP,... - Connaissances des routeurs et Switch Cisco, OS Windows, Linux,... - Bon niveau d'anglais. - Une première expérience est un atout.",Français / Anglais,Prestataire de services à valeur ajoutée dans le domaine des télécommunications et des TI,CDI,Informatique / Internet / Multimedia / Télécoms / Réseaux,Poste proposé : Ingénieur Support Aura pour missions: - Concevoir des solutions réseaux et télécommunications adaptées aux besoins de nos clients. - Participer au déploiement des plateformes et au support de nos clients. - Conseiller nos clients pour adopter nos solutions de haute technologie et a forte valeur ajouter.,Débutant (de 1 à 3 ans),BAC+5 et plus,A négocier,L'offre a été publiée il y a 3 semaines avant sur le site.,Télécoms / Réseaux,Casablanca

Shoperle SARL,English Customer Support for E-commerce Business.,https://www.m-job.ma/offres-emploi/114871-english-customer-support-for-e-commerce-business-meknes,"We are looking to hire a customer service agent for an e-commerce business. The job will be full-time (7-8 hours daily) and remote. Profil recherché : - excellent written communication skills in English - problem-solving skills - very organized and detail-oriented - Ability to adapt easily and handle varied situations efficiently As the job is remote, owning a good computer and having a good internet connection is a requirement.",Anglais,"on est une société spécialisé en commercialisation des produit solide, produit et bijoux des femmes, cadeaux.",Free Lance,,English Customer Support for E-commerce Business.,Fraichement diplômé / Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) / Confirmé (de 7 à 10 ans) / + 10 ans,NIV BAC ET MOINS / BAC / BAC+1 / BAC+2 / BAC+3 / BAC+4 / BAC+5 et plus,A négocier,L'offre a été publiée il y a 3 semaines avant sur le site.,Télécoms / Réseaux,Maroc

Advanced Global Technology,Ingénieur Réseaux & Télécommunications,https://www.m-job.ma/offres-emploi/114846-ingenieur-reseaux-telecommunications-casablanca,"Nous sommes un intégrateur des solutions de Télécommunications et Réseaux> Nous travaillons essentiellement avec les operateurs de télécommunications et avec les grands comptes. Nous cherchons un profil ayant des compétences polyvalentes dans le domaine des réseaux, télécommunications et et systèmes, Un Bon Niveau d'Anglais et des connaissances autour des Routeurs et Switchs CISCO, Windows, Linux, Virtualisation, Protocoles SIP, etc... sont requises.",L'offre a été publiée il y a 3 semaines avant sur le site.,Prestataire de services à valeur ajoutée dans le domaine des télécommunications et des TI,CDI,Informatique / Internet / Multimedia / Télécoms / Réseaux,Il/Elle aura pour missions de participer au déploiement de nos solutions a forte valeur ajoutée chez nos clients et a leur apporter du support nécessaire.,BAC+5 et plus,Français / Anglais,A négocier,L'offre a été publiée il y a 3 semaines avant sur le site.,Télécoms / Réseaux,Casablanca

SKILLZ recrutement,DESSINATEUR PROJETEUR EN CHARPENTE METALLIQUE CASABLANCA,https://www.m-job.ma/offres-emploi/114755-dessinateur-projeteur-en-charpente-metallique-casablanca-casablanca,"Vous êtes titulaire d'un Bac+2/Bac+3 de type dessinateur projeteur du bâtiment ou équivalent. Vous justifiez d'une première expérience (min 1 ans) sur des projets de construction métallique. Vous maîtrisez TEKLA, Revit, Autocad Vous êtes autonome, rigoureux, vous cherchez à developper vos compétences.",Arabe / Français,"SKILLZ est une firme de recrutement offrant une gamme étendue de services visant à aider les entreprises à se doter des ressources humaines nécessaires pour atteindre leurs objectifs d'affaires. Notre équipe complémentaire et multidisciplinaire nous permet de servir une clientèle provenant de secteurs d'activités variés et à exécuter des mandats dans différents domaines professionnels. Passionnées par les enjeux et les challenges du monde de l'entreprise, les consultants de SKILLZ mettent leurs expertises, leurs atouts et leurs pragmatismes aux services de leurs clients. Soucieux de vos besoins, notre cabinet est prêt pour vous trouver les bons candidats en respectant l'aspect le plus important (le timing & la qualité). Notre site web est conçu pour mettre votre entreprise et vos offres d'emploi en valeur et aussi vous garantir une visibilité sur tout les réseaux sociaux de la toile. enfin conçu pour les candidats, leur permettant de trouver l'entreprise qui leur correspond réellement en fonction de leurs aspirations professionnelles. Notre jobboard offre une grande visibilité sur le marché de l'emploi grâce à notre excellent positionnement et notre stratégie de référencement sur le web, nos techniques de publication d'offres web 3.0. SKILLZ est aussi la référence du recrutement d'étudiants et de jeunes talents au Maroc. Basés à Casablanca, nous accompagnons nos clients partout au Maroc et à l'international.",CDI,Architecture / Urbanisme / Environnement / BTP / Extraction / Immobilier / Télécoms / Réseaux,"Dans le cadre de renforcement de notre équipe d'étude, nous recrutons des dessinateurs(trices) projeteurs(es) en BTP et Charpente métallique: Modéliser les structures à partir des plans architecte et de la note de calcul (et faires des calcules simples en cas de besoin) Editer les plans d'ensemble Préparer le dossier de fabrication et de pose Contrôler la conformité des documents par rapport au cahier des charges",Fraichement diplômé / Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans),BAC+2 / BAC+3,de 6000 dh à 8000 dh,L'offre a été publiée il y a 1 mois avant sur le site.,Télécoms / Réseaux,Casablanca

liliads,Nous sommes à la recherche des téléconseillers en Energie Renouvelable en émission d'appels salaire 6000+ primes,https://www.m-job.ma/offres-emploi/114620-nous-sommes-a-la-recherche-des-teleconseillers-en-energie-renouvelable-en-emission-dappels-salaire-6000-primes-casablanca,"Recrutement des téléconseillers expérimentés principalement sur des activités en énergies renouvelables (panneaux solaires, bilan énergétique) Votre mission consistera à: • Identifier rapidement les clients éligibles. • D'écouter et de conseiller les clients • Fixer le RDV Vous justifiez d'une expérience dans la prise de RDV Vous avez un esprit d'équipe et vous souhaitez-vous épanouir dans un cadre agréable. Vous souhaitez travailler pour une équipe ambitieuse et des objectifs atteignables, m3s call vous assure un plan d'épanouissement professionnel et un cadre propice pour faire briller vos talents. Avantage : CDI +CNSS+AMO //WEEK-END OFF Nous vous proposons : Un salaire motivant 6000 dhs(fixe + primes non plafonnées + challenges internes). Un cadre de travail convivial et à Boulevard ABDELMOUMEN",Français,"Notre service vous aide à accroître vos ventes, à améliorer votre taux de trafic qualifié et à faire connaître vos produits à des nouveaux clients. Les entreprises peuvent réécouter les appels effectués par les téléprospecteurs. Ainsi, elles payent uniquement les prestations qui correspondent intégralement au cahier des charges qu'elles ont défini.",CDI,Télécoms / Réseaux,téléconseiller,Débutant (de 1 à 3 ans),BAC+2,de 6000 dh à 8000 dh,L'offre a été publiée il y a 1 mois avant sur le site.,Télécoms / Réseaux,Casablanca

liliads,Recrutement massif immédiat Télévendeurs en émission d’appel Avec expérience 6000+ prime,https://www.m-job.ma/offres-emploi/114566-recrutement-massif-immediat-televendeurs-en-emission-dappel-avec-experience-6000-prime-casablanca,"Recrutement des téléconseillers expérimentés principalement sur des activités en énergies renouvelables (panneaux solaires, bilan énergétique) Votre mission consistera à: • Identifier rapidement les clients éligibles. • D'écouter et de conseiller les clients • Fixer le RDV Vous justifiez d'une expérience dans la prise de RDV Vous avez un esprit d'équipe et vous souhaitez-vous épanouir dans un cadre agréable. Vous souhaitez travailler pour une équipe ambitieuse et des objectifs atteignables, m3s call vous assure un plan d'épanouissement professionnel et un cadre propice pour faire briller vos talents. Avantage : CDI +CNSS+AMO //WEEK-END OFF Nous vous proposons : Un salaire motivant 6000 dhs(fixe + primes non plafonnées + challenges internes). Un cadre de travail convivial et à Boulevard ABDELMOUMEN Merci d'envoyer votre candidature par mail à l'adresse suivante m3scall.recrutement.rh@gmail.com",Français,"Notre service vous aide à accroître vos ventes, à améliorer votre taux de trafic qualifié et à faire connaître vos produits à des nouveaux clients. Les entreprises peuvent réécouter les appels effectués par les téléprospecteurs. Ainsi, elles payent uniquement les prestations qui correspondent intégralement au cahier des charges qu'elles ont défini.",CDI,Télécoms / Réseaux,téléconseiller,Débutant (de 1 à 3 ans),BAC+2,de 6000 dh à 8000 dh,L'offre a été publiée il y a 1 mois avant sur le site.,Télécoms / Réseaux,Casablanca

liliads,Recrutement des téléconseillers expérimentés principalement sur des activités en énergies renouvelables salaire 6000 +primes,https://www.m-job.ma/offres-emploi/114560-recrutement-des-teleconseillers-experimentes-principalement-sur-des-activites-en-energies-renouvelables-salaire-6000-primes-agadir,"Dans le cadre de notre développement continu, nous recrutons des experts en énergies renouvelables francophones avec disponibilité immédiate. Votre mission consistera à: • Identifier rapidement les clients éligibles. • D'écouter et de conseiller les clients • Fixer le RDV Vous justifiez d'une expérience dans la prise de RDV Vous avez un esprit d'équipe et vous souhaitez-vous épanouir dans un cadre agréable. Vous souhaitez travailler pour une équipe ambitieuse et des objectifs atteignables, m3s call vous assure un plan d'épanouissement professionnel et un cadre propice pour faire briller vos talents. Avantage : CDI +CNSS+AMO //WEEK-END OFF Nous vous proposons : Un salaire motivant 6000 dhs(fixe + primes non plafonnées + challenges internes). Un cadre de travail convivial et à Boulevard ABDELMOUMEN",Français,"Notre service vous aide à accroître vos ventes, à améliorer votre taux de trafic qualifié et à faire connaître vos produits à des nouveaux clients. Les entreprises peuvent réécouter les appels effectués par les téléprospecteurs. Ainsi, elles payent uniquement les prestations qui correspondent intégralement au cahier des charges qu'elles ont défini.",CDI,Télécoms / Réseaux,téléconseiller,Débutant (de 1 à 3 ans),BAC+2,de 6000 dh à 8000 dh,L'offre a été publiée il y a 1 mois avant sur le site.,Télécoms / Réseaux,Agadir

liliads,Recrutement des téléconseillers expérimentés principalement sur des activités en énergies renouvelables salaire 6000 dh Casablanca,https://www.m-job.ma/offres-emploi/114481-recrutement-des-teleconseillers-experimentes-principalement-sur-des-activites-en-energies-renouvelables-salaire-6000-dh-casablanca-casablanca,"• Vous justifiez d’une expérience en tant que conseiller commercial dans les énergies renouvelables, • Vous avez un sens de communication et un sens commercial développé, • Vous avez une bonne maîtrise du Français aussi bien à l'oral qu'à l'écrit.",Français,"Dans le cadre de notre développement continu, nous recrutons des experts en énergies renouvelables francophones avec disponibilité immédiate. Votre mission consistera à: • Identifier rapidement les clients éligibles. • D'écouter et de conseiller les clients • Fixer le RDV Vous justifiez d'une expérience dans la prise de RDV Vous avez un esprit d'équipe et vous souhaitez-vous épanouir dans un cadre agréable. Vous souhaitez travailler pour une équipe ambitieuse et des objectifs atteignables, m3s call vous assure un plan d'épanouissement professionnel et un cadre propice pour faire briller vos talents. Avantage : CDI +CNSS+AMO //WEEK-END OFF Nous vous proposons : Un salaire motivant 6000 dhs(fixe + primes non plafonnées + challenges internes). Un cadre de travail convivial et à Boulevard ABDELMOUMEN Merci d'envoyer votre candidature par mail",CDI,Télécoms / Réseaux,téléconseiller,Débutant (de 1 à 3 ans),BAC+2,de 6000 dh à 8000 dh,L'offre a été publiée il y a 1 mois avant sur le site.,Télécoms / Réseaux,Casablanca

online services solutions,"Vous êtes DISPONIBLE dès à présent, et vous recherchez un poste?",https://www.m-job.ma/offres-emploi/114456-vous-etes-disponible-des-a-present-et-vous-recherchez-un-poste-marrakech,"Nous recrutons des téléconseillers #Expérimentés en prise de rendez vous audit énergétique ( PAC, BALLON , VMC , chaudière a granule, poêle a granule, panneaux solaires , isolation…..) SALAIRE FIXE : 4000 DH sans objectifs +primes sur chaque installation •Repas du midi pris en charge par l'employeur •Contrat cdi • Vous avez une grande capacité d’écoute et d’adaptation • Dynamique et organisé • Une expérience est obligatoire. Poste basé a Marrakech gueliz",Français,CENTRE D'APPEL,CDI,Télécoms / Réseaux,• Vous avez une grande capacité d’écoute et d’adaptation • Dynamique et organisé • Une expérience est obligatoire.,Fraichement diplômé,BAC,de 4000 dh à 6000 dh,L'offre a été publiée il y a 1 mois avant sur le site.,Télécoms / Réseaux,Marrakech

SKILLZ recrutement,Acquisition terrains POP (Telecom),https://www.m-job.ma/offres-emploi/114380-acquisition-terrains-pop-telecom-casablanca,"Profil et exigences : Bac + 3 minimum Expérience de 4 ans dans le domaine d’acquisition et négociation ; Les notions sur les démarches administratives d’obtention des autorisations de construire ; Connaissances dans la gestion immobilière Outils de travail Motorisé è voiture de déplacement Laptop, GPS, Boussole et téléphone portable GSM",Français / Anglais,"SKILLZ est une firme de recrutement offrant une gamme étendue de services visant à aider les entreprises à se doter des ressources humaines nécessaires pour atteindre leurs objectifs d'affaires. Notre équipe complémentaire et multidisciplinaire nous permet de servir une clientèle provenant de secteurs d'activités variés et à exécuter des mandats dans différents domaines professionnels. Passionnées par les enjeux et les challenges du monde de l'entreprise, les consultants de SKILLZ mettent leurs expertises, leurs atouts et leurs pragmatismes aux services de leurs clients. Soucieux de vos besoins, notre cabinet est prêt pour vous trouver les bons candidats en respectant l'aspect le plus important (le timing & la qualité). Notre site web est conçu pour mettre votre entreprise et vos offres d'emploi en valeur et aussi vous garantir une visibilité sur tout les réseaux sociaux de la toile. enfin conçu pour les candidats, leur permettant de trouver l'entreprise qui leur correspond réellement en fonction de leurs aspirations professionnelles. Notre jobboard offre une grande visibilité sur le marché de l'emploi grâce à notre excellent positionnement et notre stratégie de référencement sur le web, nos techniques de publication d'offres web 3.0. SKILLZ est aussi la référence du recrutement d'étudiants et de jeunes talents au Maroc. Basés à Casablanca, nous accompagnons nos clients partout au Maroc et à l'international.",CDI / Free Lance,Télécoms / Réseaux,"Acquéreurs pour les POPS, dont leur mission principale sera : •Prospection des candidats pour l’acquisition des terrains POP : Identifier & analyser les contraintes terrain : – Identifier la nature du foncier adéquat ; – Contraintes d’électrification – Identifier les interlocuteurs extérieurs. • Négociation des Sites : – Demande à adresser aux propriétaires : organismes… – Négociation à mener avec des propriétaires privés (Grille de Loyer leurs sera dictée) ; S’assurer des procédures administratives à entamer : autorisations, plan d’urbanisme…. • Reporting au Manager Patrimoine : – Envoyer les DR et programmer les TSS ; – Assister le ST CW lors d’élaboration des APD",Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) / Confirmé (de 7 à 10 ans) / + 10 ans,BAC+2 / BAC+3 / BAC+4 / BAC+5 et plus,A négocier,L'offre a été publiée il y a 2 mois avant sur le site.,Télécoms / Réseaux,Casablanca

SKILLZ recrutement,Référent Technique documentation FTTH,https://www.m-job.ma/offres-emploi/114379-referent-technique-documentation-ftth-casablanca,"Profil recherché pour le poste : Diplôme Technicien/ingénieur, avec 10 ans d’expérience en tant que responsable documentation, dont une expérience significative en fibre optique. Compétences confirmées en élaboration des plans, Autocad, shapefile, QGIS, NetGeo est souhaitable.",Français / Anglais,"SKILLZ est une firme de recrutement offrant une gamme étendue de services visant à aider les entreprises à se doter des ressources humaines nécessaires pour atteindre leurs objectifs d'affaires. Notre équipe complémentaire et multidisciplinaire nous permet de servir une clientèle provenant de secteurs d'activités variés et à exécuter des mandats dans différents domaines professionnels. Passionnées par les enjeux et les challenges du monde de l'entreprise, les consultants de SKILLZ mettent leurs expertises, leurs atouts et leurs pragmatismes aux services de leurs clients. Soucieux de vos besoins, notre cabinet est prêt pour vous trouver les bons candidats en respectant l'aspect le plus important (le timing & la qualité). Notre site web est conçu pour mettre votre entreprise et vos offres d'emploi en valeur et aussi vous garantir une visibilité sur tout les réseaux sociaux de la toile. enfin conçu pour les candidats, leur permettant de trouver l'entreprise qui leur correspond réellement en fonction de leurs aspirations professionnelles. Notre jobboard offre une grande visibilité sur le marché de l'emploi grâce à notre excellent positionnement et notre stratégie de référencement sur le web, nos techniques de publication d'offres web 3.0. SKILLZ est aussi la référence du recrutement d'étudiants et de jeunes talents au Maroc. Basés à Casablanca, nous accompagnons nos clients partout au Maroc et à l'international.",CDI / Free Lance,Télécoms / Réseaux,"Vérification de la documentation HLD/APD. Préparation et contrôle de la documentation et livrables (Référentiel, Plan de recollement, Plan de calpinage). Elaboration de modèle de référentiel geographique FTTH Consolidation des documents sur Qgis et NetGeo Préparation et coordination de la réception des plans FTTH pour transfert aux Opérations et support. Suivi des levées des réserves documentation avec les prestataires Réalisation des ateliers pour les équipes Bureau études internes et prestataires",Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) / Confirmé (de 7 à 10 ans) / + 10 ans,BAC+2 / BAC+3 / BAC+4 / BAC+5 et plus,A négocier,L'offre a été publiée il y a 2 mois avant sur le site.,Télécoms / Réseaux,Casablanca

SKILLZ recrutement,Responsable Design fixe (FTTH / ADSL),https://www.m-job.ma/offres-emploi/114378-responsable-design-fixe-ftth-adsl-casablanca,"3. Profil recherché pour le poste : · Diplôme d’Ingénieur (de préférence en Télécommunications ou Informatique) ou équivalent · Au moins 5 ans d'expérience dans le secteur des télécommunications, · Expérience en équipements Actifs : Huawei, Nokia, ZTE …. · Expérience pratique du système SIG, et expérience exigée en AutoCAD, GoogleEarth et Applications Bureautiques (Excel, MS Office) · Un bon niveau d'anglais.",Français / Anglais,"SKILLZ est une firme de recrutement offrant une gamme étendue de services visant à aider les entreprises à se doter des ressources humaines nécessaires pour atteindre leurs objectifs d'affaires. Notre équipe complémentaire et multidisciplinaire nous permet de servir une clientèle provenant de secteurs d'activités variés et à exécuter des mandats dans différents domaines professionnels. Passionnées par les enjeux et les challenges du monde de l'entreprise, les consultants de SKILLZ mettent leurs expertises, leurs atouts et leurs pragmatismes aux services de leurs clients. Soucieux de vos besoins, notre cabinet est prêt pour vous trouver les bons candidats en respectant l'aspect le plus important (le timing & la qualité). Notre site web est conçu pour mettre votre entreprise et vos offres d'emploi en valeur et aussi vous garantir une visibilité sur tout les réseaux sociaux de la toile. enfin conçu pour les candidats, leur permettant de trouver l'entreprise qui leur correspond réellement en fonction de leurs aspirations professionnelles. Notre jobboard offre une grande visibilité sur le marché de l'emploi grâce à notre excellent positionnement et notre stratégie de référencement sur le web, nos techniques de publication d'offres web 3.0. SKILLZ est aussi la référence du recrutement d'étudiants et de jeunes talents au Maroc. Basés à Casablanca, nous accompagnons nos clients partout au Maroc et à l'international.",CDI / Free Lance,Télécoms / Réseaux,"Activités principales : · Etudier le dossier technique dont cahier des charges, schémas fonctionnels et dossier de matériel · Effectuer la validation et le contrôle de la qualité des données SIG (bases, routes, bâtiments, etc.) nécessaires à la conception FTTH · Réaliser des ingénieries FTTH et ADSL (APS, APD) afin de proposer le meilleur équilibre entre coût, faisabilité et délai déploiement · Effectuer la validation et le contrôle du design génie civil et câbles en se basant sur les règles d’ingénierie · Effectuer la validation et le contrôle des plans de GC Fixe · Effectuer la validation et le contrôle des plans de tirage de câble et de raccordement de boitiers optiques · Effectuer la validation et le contrôle des schémas et les plans des réseaux télécoms · Préparer des rapports périodiques à soumettre au responsable direct · Aider au développement et à la gestion de tous les enregistrements et de la documentation associée à la conception du réseau",Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) / Confirmé (de 7 à 10 ans) / + 10 ans,BAC+2 / BAC+3 / BAC+4 / BAC+5 et plus,A négocier,L'offre a été publiée il y a 2 mois avant sur le site.,Télécoms / Réseaux,Casablanca

online services solutions,Emploi pour les débutants sans expériences ayant bon niveau en Français,https://www.m-job.ma/offres-emploi/114339-emploi-pour-les-debutants-sans-experiences-ayant-bon-niveau-en-francais-marrakech,Emploi pour les débutants sans expériences ayant bon niveau en Français • Vous avez une grande capacité d’écoute et d’adaptation • Dynamique et organisé,Français,CENTRE D'APPEL,CDI,Télécoms / Réseaux,"Nous recrutons des téléconseillers en prise de rendez vous audit énergétique ( PAC, BALLON , VMC , chaudière a granule, poêle a granule, panneaux solaires , isolation…..) SALAIRE FIXE : 4000 DH sans objectifs +primes sur chaque installation •Repas du midi pris en charge par l'employeur •Contrat cdim Poste basé a Marrakech gueliz",Fraichement diplômé,BAC,de 4000 dh à 6000 dh,L'offre a été publiée il y a 2 mois avant sur le site.,Télécoms / Réseaux,Marrakech

Lb corporation,Recrutement Assurance Maladie Suisse ( téléconseiller),https://www.m-job.ma/offres-emploi/114277-recrutement-assurance-maladie-suisse-teleconseiller-casablanca,"Contrat CDI, CNSS, AMO Salaire très motivant + Primes non plafonnées Challenges journaliers, team building, sorties, événements, évolution interne à 100% Les horaires: 9h à 18h weekend off Casablanca",Français,"Call center sur le marché Suisse assurance et prévoyance émission appels pries de rdv LB Corporation est un centre d’appels située en plein Maarif de Casablanca, il est spécialisée dans le conseil en marketing pour prendre et fixer des rendez-vous.",CDI,Télécoms / Réseaux,"Dans le cadre de son développement, LB CORPORATION recherche des profils pour la prise de RDV en Assurance Suisse, vous serez en charge de commercialiser nos produits d'assurance auprès de particuliers , professionnels et assurer le suivi d'un portefeuille prospects que vous devriez développer et fidéliser en vous appuyant sur les fichiers les plus intéressants.",Débutant (de 1 à 3 ans),BAC+2,de 4000 dh à 6000 dh,L'offre a été publiée il y a 2 mois avant sur le site.,Télécoms / Réseaux,Casablanca

online services solutions,Avec ou sans expérience vous pouvez toujours travailler,https://www.m-job.ma/offres-emploi/114136-avec-ou-sans-experience-vous-pouvez-toujours-travailler-marrakech,Vous êtes ambitieux pour travailler dans un centre d’appel à MARRAKCH,Français,"Emploi pour les débutants sans expériences ayant un niveaux acceptable en Français ; Êtes-Vous sérieux et dynamique ? Vous avez un esprit commercial ? Vous êtes ambitieux pour travailler dans un centre d’appel à MARRAKCH Vous avez un BON/EXCELLENT niveau en FRANÇAIS? contactez nous des maintenant et réservez votre placeType d'emploi : Temps plein, CDD, CDI Salaire Fixe : à partir de 4000,00DH par mois restauration : dejeuner offert par la maison Type d'emploi : Temps plein, , CDI des le premier jour de validation",CDI,Télécoms / Réseaux,Êtes-Vous sérieux et dynamique ? Vous avez un esprit commercial ?,Débutant (de 1 à 3 ans),BAC,de 4000 dh à 6000 dh,L'offre a été publiée il y a 2 mois avant sur le site.,Télécoms / Réseaux,Marrakech

